,order,family,genus,species,diet,notes,habitat,forage_site
135,Passeriformes,Cardinalidae,Passerina,Passerina caerulea,insectivore,,,
136,Passeriformes,Icteridae,Euphagus,Euphagus cyanocephalus,omnivore,,,
137,Passeriformes,Hirundinidae,Riparia,Riparia riparia,insectivore,,,
138,Passeriformes,Turdidae,Sialia,Sialia currucoides,insectivore,,,
139,Passeriformes,Troglodytidae,Salpinctes,Salpinctes obsoletus,insectivore,,,
140,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,omnivore,,,
141,Passeriformes,Remizidae,Auriparus,Auriparus flaviceps,insectivore,,,
142,Charadriiformes,Scolopacidae,Numenius,Numenius americanus,carnivore,,,
143,Anseriformes,Anatidae,Oxyura,Oxyura jamaicensis,omnivore,,,
144,Pelecaniformes,Ardeidae,Butorides,Butorides virescens,carnivore,,,
145,Apodiformes,Trochilidae,Selasphorus,Selasphorus rufus,herbivore,,,
