,Order,Family,Geenus,Species,Common Name,Diet,Introduced
98,Passeriformes,Polioptilidae,Polioptila,Polioptila caerulea,Blue-gray gnatcatcher,Insectivore,
99,Passeriformes,Ptilogonatidae,Phainopepla,Phainopepla nitens,Phainopepla,Herbivore,
100,Passeriformes,Remizidae,Auriparus,Auriparus flaviceps,Verdin,Insectivore,
101,Passeriformes,Sittidae,Sitta,Sitta canadensis,Red-breasted nuthatch,Omnivore,
102,Passeriformes,Sittidae,Sitta,Sitta carolinensis,White-breasted nuthatch,Omnivore,
103,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,Common starling,Omnivore,*
104,Passeriformes,Sylviidae,Chamaea,Chamaea fasciata,Wrentit,Omnivore,
105,Passeriformes,Troglodytidae,Catherpes,Catherpes mexicanus,Canyon wren,Insectivore,
106,Passeriformes,Troglodytidae,Salpinctes,Salpinctes obsoletus,Rock wren,Insectivore,
107,Passeriformes,Troglodytidae,Thryomanes,Thryomanes bewickii,Bewick's wren,Insectivore,
108,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,House wren,Insectivore,
109,Passeriformes,Turdidae,Catharus,Catharus guttatus,Hermit thrush,Omnivore,
110,Passeriformes,Turdidae,Catharus,Catharus ustulatus,Swainson's thrush,Omnivore,
111,Passeriformes,Turdidae,Ixoreus,Ixoreus naevius,Varied thrush,Omnivore,
112,Passeriformes,Turdidae,Myadestes,Myadestes townsendi,Townsend's solitaire,Omnivore,
113,Passeriformes,Turdidae,Sialia,Sialia currucoides,Mountain bluebird,Insectivore,
114,Passeriformes,Turdidae,Sialia,Sialia mexicana,Western bluebird,Omnivore,
115,Passeriformes,Turdidae,Turdus,Turdus migratorius,American robin,Omnivore,
116,Passeriformes,Tyrannidae,Contopus,Contopus sordidulus,Western wood-pewee,Insectivore,
117,Passeriformes,Tyrannidae,Empidonax,Empidonax difficilis,Western flycatcher,Carnivore,
118,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Willow flycatcher,Insectivore,
119,Passeriformes,Tyrannidae,Myiarchus,Myiarchus cinerascens,Ash-throated flycatcher,Insectivore,
120,Passeriformes,Tyrannidae,Sayornis,Sayornis nigricans,Black phoebe,Insectivore,
121,Passeriformes,Tyrannidae,Sayornis,Sayornis saya,Say's phoebe,Insectivore,
122,Passeriformes,Tyrannidae,Tyrannus,Tyrannus verticalis,Western kingbird,Insectivore,
123,Passeriformes,Tyrannidae,Tyrannus,Tyrannus vociferans,Cassin's kingbird,Insectivore,
124,Passeriformes,Vireonidae,Vireo,Vireo cassinii,Cassin's vireo,Insectivore,
125,Passeriformes,Vireonidae,Vireo,Vireo gilvus,Warbling vireo,Insectivore,
126,Passeriformes,Vireonidae,Vireo,Vireo huttoni,Hutton's vireo,Insectivore,
127,Pelecaniformes,Ardeidae,Ardea,Ardea alba,Great egret,Piscivore,
128,Pelecaniformes,Ardeidae,Ardea,Ardea herodias,Great blue heron,Carnivore,
