"","order","family","genus","species"
"126","Accipitriformes","Accipitridae","Accipiter",NA
"127","Strigiformes","Strigidae","Asio","Asio flammeus"
"128","Charadriiformes","Charadriidae","Charadrius","Charadrius vociferus"
"129","Passeriformes","Paridae","Poecile","Poecile gambeli"
"130","Passeriformes","Turdidae","Myadestes","Myadestes townsendi"
"131","Galliformes","Phasianidae","Meleagris","Meleagris gallopavo"
"132","Passeriformes","Turdidae","Catharus","Catharus ustulatus"
"133","Passeriformes","Turdidae","Ixoreus","Ixoreus naevius"
"134","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia albicollis"
"135","Passeriformes","Cardinalidae","Passerina","Passerina caerulea"
"136","Passeriformes","Icteridae","Euphagus","Euphagus cyanocephalus"
"137","Passeriformes","Hirundinidae","Riparia","Riparia riparia"
"138","Passeriformes","Turdidae","Sialia","Sialia currucoides"
"139","Passeriformes","Troglodytidae","Salpinctes","Salpinctes obsoletus"
"140","Passeriformes","Alaudidae","Eremophila","Eremophila alpestris"
"141","Passeriformes","Remizidae","Auriparus","Auriparus flaviceps"
"142","Charadriiformes","Scolopacidae","Numenius","Numenius americanus"
"143","Anseriformes","Anatidae","Oxyura","Oxyura jamaicensis"
"144","Pelecaniformes","Ardeidae","Butorides","Butorides virescens"
"145","Apodiformes","Trochilidae","Selasphorus","Selasphorus rufus"
